 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
     970.0       0.78      77.21        8.0         76        262       1153        701        2.1        396          0          0          0          0          0          0          0          0          0 
     975.0       0.83      72.52        8.4         76        207       1159        701        2.7        518          0          0          0          0          0          0          0          0          0 
     980.0       1.10      54.31       12.1         95        870       1178        703        2.6        518          0          0          0          0          0          0          0          0          0 
     985.0       0.49     122.72       10.0        127       1711       1202        706        2.5        436          0          0          0          0          0          0          0          0          0 
     990.0       0.59     102.12       10.3        127       1635       1198        706        2.8        539          0          0          0          0          0          0          0          0          0 
     995.0       0.48     125.71        8.4        127       1485       1186        706        3.7        732          0          0          0          0          0          0          0          0          0 
    1000.0       0.50     120.35       10.3        127       1568       1204        706        4.5        936         13          0          0          0          0          0          0          0          0 
    1005.0       1.46      41.11       12.0        127       1217       1181        706        4.9        992         13          0          0          0          0          0          0          0          0 
    1010.0       0.44     136.46        8.1        125       1610       1151        694        3.6        725          0          0          0          0          0          0          0          0          0 
    1015.0       0.36     165.95        8.7        122       1495       1084        663        6.8       1349         17          0          0          0          0          0          0          0          0 
    1020.0       0.41     147.54        9.1        122       1621       1091        663        7.1       1520         22          0          0          0          0          0          0          0          0 
    1025.0       0.43     150.02        8.2        122       1050       1081        663        6.8       1510         22          0          0          0          0          0          0          0          0 
    1030.0       3.55      16.90       11.0        123       1065       1106        663        2.8        413          0          0          0          0          0          0          0          0          0 
    1035.0       0.48     126.17        6.0        123       1388       1120        663        5.1       1042         14          0          0          0          0          0          0          0          0 
    1040.0       0.77      78.24        7.8        123       1422       1132        663        5.2       1084         17          0          0          0          0          0          0          0          0 
    1045.0       0.83      72.11        8.7        126       1602       1207        695        4.3        869         13          0          0          0          0          0          0          0          0 
    1050.0       0.68      88.49        7.8        127       1668       1198        700        2.7        484          0          1          0          1          0          1          0          0          0 
    1055.0       0.78      77.30        9.4        127       1693       1202        700        1.4        201          0          0          0          0          0          0          0          0          0 
    1060.0       0.48     125.14       12.7        127       2166       1224        700        2.6        420          0          0          0          0          0          0          0          0          0 
    1065.0       0.49     121.83       10.4        127       1868       1204        700        3.4        644         10          0          0          0          0          0       0.00          0          0 
