 Bit Depth        ROP   ROP m/hr        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main        CO2   H2S Atmo   H2S Unit 
        ft       mn/f      ft/hr       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm          %        ppm        ppm 
     820.0       0.39     152.72        2.0        138       2189        897        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     825.0       0.33     184.09        1.9        138       2074        899        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     830.0       0.42     143.12        2.1        139       1548        911        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     835.0       0.40     149.14        1.6        139       1537        909        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     840.0       0.32     184.96        1.8        139       2064        916        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     845.0       0.32     184.73        1.0        139       1653        911        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     850.0       0.34     178.56        0.7        139       1222        914        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     855.0       0.33     182.10        1.1        139       1444        923        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     860.0       0.34     178.60        1.8        139       1534        932        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     865.0       0.39     152.72        1.8        139       1984        928        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     870.0       0.32     186.59        1.6        139       1697        934        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     875.0       0.36     168.38        0.4        139       1392        928        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     880.0       0.33     180.61        0.6        140       1472        931        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     885.0       0.33     181.47        1.2        140       1896        933        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     890.0       0.33     184.59        0.6        140       1617        930        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     895.0       0.33     180.82        0.7        140       1531        938        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     900.0       0.34     178.56        1.2        140       1785        948        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     905.0       0.33     184.28        0.1        140       1475        959        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     910.0       0.33     181.69        0.4        140       1531        958        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     915.0       0.31     192.49        1.4        140       1603        958        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     920.0       0.40     148.47        1.1        140       1088        947        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     925.0       0.34     176.45        0.9        140       1574        944        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     930.0       0.32     186.85        1.4        141       1921        956        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     935.0       0.32     184.94        1.8        140       1539        963        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     940.0       0.34     178.27        1.9        140       1493        962        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     945.0       0.33     179.17        2.1        140       1561        962        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     950.0       0.33     183.83        1.5        140       1221        974        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     955.0       0.33     181.20        1.7        140       1474        757        698        0.0          0          0          0          0          0          0          0       0.02          0          0 
     960.0       0.31     193.68        1.9        141       1598        746        698        0.0          0          0          0          0          0          0          0       0.02          0          0 
     965.0       0.35     169.27        2.1        140       1345        888        698        0.0          0          0          0          0          0          0          0       0.02          0          0 
     970.0       0.33     179.24        2.2        140       1556        937        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     975.0       0.32     184.95        2.3        140       1234        979        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     980.0       0.32     185.93        2.1        140       1304        975        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     985.0       0.34     178.25        1.5        140       1760        976        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     990.0       0.33     181.07        1.8        140       1654        969        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
     995.0       0.33     181.97        1.3        140       1322        964        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1000.0       0.33     184.28        1.6        140       1779        959        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1005.0       0.31     190.56        1.2        140       1100        959        697        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1010.0       0.37     163.87        1.0        140       1168        946        698        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1015.0       1.74      34.42        9.0         94       1986        965        701        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1020.0       0.32     185.69        2.3        140       1781        973        701        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1025.0       2.86      20.98       10.4         90       1962        869        643        0.0          0          0          0          0          0          0          0       0.02          0          0 
    1030.0       2.27      26.39        8.4         98       1880        677        550        0.0          0          0          0          0          0          0          0       0.02          0          0 
