 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     935.0     153.05       0.39        2.4        130       2095       1621        744        0.0         34          0          0          0          0          0          0 
     940.0     153.99       0.39        3.1        133       2421       1624        744        0.0         31          0          0          0          0          0          0 
     945.0     154.00       0.39        4.2        136       2740       1632        743        0.0         32          0          0          0          0          0          0 
     950.0     154.16       0.39        3.2        139       2462       1646        744        0.0         27          0          0          0          0          0          0 
     955.0     168.31       0.36        4.6        146       2351       1642        743        0.0         27          0          0          0          0          0          0 
     960.0     140.93       0.43        4.8        140       2412       1642        743        0.0         54          0          0          0          0          0          0 
     965.0     167.83       0.36        1.6        146       2484       1644        743        0.0         81          0          0          0          0          0          0 
     970.0      79.33       0.76        7.2        117       3294       1647        743        0.0        111          0          0          0          0          0          0 
     975.0      88.95       0.67        8.9        100       4118       1653        743        0.0         78          0          0          0          0          0          0 
     980.0     170.73       0.35        5.2        149       2816       1659        743        0.0         76          0          0          0          0          0          0 
     985.0     176.22       0.34        4.1        149       2393       1647        743        0.0         81          0          0          0          0          0          0 
     990.0     174.50       0.34        3.4        149       2318       1662        743        0.6         80          0          0          0          0          0          0 
     995.0     162.74       0.37        2.3        139       2711       1645        743        0.6         80          0          0          0          0          0          0 
    1000.0     170.54       0.35        1.9        150       2855       1651        743        1.2        229          0          0          0          0          0          0 
    1005.0      49.63       1.21       10.1         86       4632       1660        743        1.1        229          0          0          0          0          0          0 
    1010.0     169.70       0.35        1.9        149       3116       1658        743        1.1        207          0          0          0          0          0          0 
    1015.0     174.52       0.34        1.7        149       2713       1675        743        1.1        219          0          0          0          0          0          0 
    1020.0     174.76       0.34        2.9        149       2420       1653        743        1.0        208          0          0          0          0          0          0 
    1025.0     164.13       0.37        2.7        147       2389       1669        743        2.2        416          0          0          0          0          0          0 
    1030.0     169.80       0.35        1.4        149       2526       1661        744        2.4        416          0          0          0          0          0          0 
    1035.0     172.74       0.35        1.8        149       2864       1656        743        1.8        342          0          0          0          0          0          0 
    1040.0      78.58       0.76        6.1        109       3491       1663        743        1.8        342          0          0          0          0          0          0 
    1045.0     167.91       0.36        0.6        150       2221       1679        743        1.5        269          0          0          0          0          0          0 
    1050.0     181.50       0.33        1.5        150       2532       1667        743        1.7        257          0          0          0          0          0          0 
    1055.0     152.98       0.39        2.3        150       2721       1668        743        3.4        463          0          0          0          0          0          0 
