 Bit Depth   ROP ft/hr       ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
    1015.0      22.33       2.69       11.8         69       4214       1522        766        2.0        393          0          0          0          0          0          0 
    1020.0      37.13       1.62       11.9         77       4006       1594        771        3.8        740          0          0          0          0          0          0 
    1025.0      50.52       1.19        9.6         83       3472       1625        771        2.7        434          0          0          0          0          0          0 
    1030.0     208.48       0.29        1.8        119       2878       1665        771        2.7        440          0          0          0          0          0          0 
    1035.0     204.53       0.29        4.0        119       3241       1656        771        3.6        508          0          0          0          0          0          0 
    1040.0     206.75       0.29        2.9        119       2777       1670        771        5.2       1036          0          0          0          0          0          0 
    1045.0     209.21       0.29        1.8        119       2744       1667        771        6.7       1334          0          0          0          0          0          0 
    1050.0     207.47       0.29        3.6        119       3317       1668        771        7.6       1334          0          0          0          0          0          0 
    1055.0     209.19       0.29        2.9        119       2920       1675        771        9.9       2018          0          0          0          0          0          0 
    1060.0     190.16       0.32        1.5        119       2943       1680        771       10.1       2035          0          0          0          0          0          0 
    1065.0     209.20       0.29        1.3        118       3156       1686        771        7.8       1753          0          0          0          0          0          0 
    1070.0     193.58       0.31        3.7        118       3535       1687        771        8.9       1753          0          0          0          0          0          0 
    1075.0     106.52       0.56        6.8        116       3951       1693        771       10.9       2175          0          0          0          0          0          0 
    1080.0     208.52       0.29        1.5        118       2901       1694        771        9.9       2020          0          0          0          0          0          0 
    1085.0     209.22       0.29        2.7        118       2855       1698        771        8.3       1723          0          0          0          0          0          0 
    1090.0     177.18       0.34        2.8        118       3103       1708        771        9.2       1864          0          0          0          0          0          0 
    1095.0     209.23       0.29        3.3        117       3660       1712        771        2.9        549          0          0          0          0          0          0 
    1100.0     206.73       0.29        2.5        117       3068       1707        771        4.3        848          0          0          0          0          0          0 
    1105.0     206.73       0.29        1.7        117       2402       1726        771        8.9       1048          0          0          0          0          0          0 
    1110.0     204.30       0.29        2.2        117       2973       1720        771       10.6       2115          0          0          0          0          0          0 
    1115.0     211.22       0.28        3.3        117       2829       1726        771       12.0       2452          0          0          0          0          0          0 
    1120.0     201.39       0.30        3.6        117       3065       1719        771       12.0       2452          0          0          0          0          0          0 
    1125.0     200.04       0.30        4.4        118       3847       1708        771        7.5       1531          0          0          0          0          0          0 
    1130.0     216.47       0.28        3.5        118       3319       1719        771        7.7       1430          0          0          0          0          0          0 
    1135.0     206.96       0.29        3.0        118       3119       1708        771        9.5       1739          0          0          0          0          0          0 
    1140.0     206.77       0.29        0.7        118       2205       1704        771       11.7       2039          0          0          0          0          0          0 
    1145.0     200.36       0.30        1.2        118       2263       1702        771       11.8       2295          0          0          0          0          0          0 
    1150.0     184.12       0.33        4.0        118       2968       1679        771       22.7       4487         15          0          0          0          0          0 
    1155.0     206.00       0.29        2.5        118       3328       1697        771       18.6       4372         15          0          0          0          0          0 
