 Bit Depth   ROP m/hr        ROP        WOB        RPM     TORQUE        SPP    FLWpmps T GAS main   C1  main   C2  main   C3  main   iC4 main   nC4 main   iC5 main   nC5 main 
        ft      ft/hr       mn/f       klbs        rpm      lb*ft        psi        gpm   Units_20        ppm        ppm        ppm        ppm        ppm        ppm        ppm 
     785.0     130.87       0.46        3.6         60       2026       1483        722          0          0          0          0          0          0          0          0 
     790.0      96.07       0.62        3.1         60       1917       1483        722          0          0          0          0          0          0          0          0 
     795.0     125.82       0.48        3.8         60       1878       1487        722          0          0          0          0          0          0          0          0 
     800.0      76.02       0.79        3.2         60       1970       1473        722        0.9          0          0          0          0          0          0          0 
     805.0      91.99       0.65        2.4         60       1776       1482        722        0.8          0          0          0          0          0          0          0 
     810.0     127.26       0.47        2.7         60       2108       1489        722        0.9          0          0          0          0          0          0          0 
     815.0     136.28       0.44        1.6         60       2215       1486        722        0.8          0          0          0          0          0          0          0 
     820.0     117.04       0.51        2.0         60       2119       1478        722        0.7          0          0          0          0          0          0          0 
     825.0      92.57       0.65        2.1         60       1845       1478        722        0.7          0          0          0          0          0          0          0 
     830.0      62.76       0.96        2.2         60       1426       1478        722        0.7         16          0          0          0          0          0          0 
     835.0      74.03       0.81        1.3         60       1562       1484        722        0.7         29          0          0          0          0          0          0 
     840.0     107.42       0.56        1.0         60       2232       1510        722        0.6         25          0          0          0          0          0          0 
     845.0     122.97       0.49        1.0         60       2359       1507        722        0.7         37          0          0          0          0          0          0 
     850.0     124.96       0.48        0.6         60       2216       1477        722        0.8         81          0          0          0          0          0          0 
     855.0      72.43       0.83        0.7         60       1751       1473        722        1.1        129          0          0          0          0          0          0 
     860.0      77.02       0.78        3.5         60       1588       1483        722        1.0        129          0          0          0          0          0          0 
     865.0      71.46       0.84        3.6         60       1535       1507        722        0.9        116          0          0          0          0          0          0 
     870.0      90.75       0.66        2.3         60       1829       1568        722        0.6         66          0          0          0          0          0          0 
     875.0      69.98       0.86        2.8         60       1963       1581        722        0.7        106          0          0          0          0          0          0 
     880.0     119.25       0.50        4.1         60       2474       1586        722        0.8        120          0          0          0          0          0          0 
     885.0      74.93       0.80        3.3         60       1867       1581        722        1.2        199          0          0          0          0          0          0 
     890.0      69.45       0.86        4.0         60       1741       1591        722        1.2        204          0          0          0          0          0          0 
     895.0     119.32       0.50        4.0         60       1847       1594        722        1.9        296          0          0          0          0          0          0 
     900.0     146.07       0.41        2.8         60       2210       1596        722        2.1        374          0          0          0          0          0          0 
     905.0      87.48       0.69        3.2         60       2039       1593        722        1.7        345          0          0          0          0          0          0 
     910.0      97.79       0.61        3.1         60       2216       1599        722        2.0        335          0          0          0          0          0          0 
     915.0     147.91       0.41        2.8         60       2384       1607        722        1.8        287          0          0          0          0          0          0 
     920.0      98.74       0.61        3.0         60       1914       1611        722        2.6        419          0          0          0          0          0          0 
     925.0      71.69       0.84        3.8         60       1738       1604        722        3.2        565          0          0          0          0          0          0 
     930.0     122.74       0.49        3.0         60       2431       1601        722        2.6        459          0          0          0          0          0          0 
     935.0     154.54       0.39        2.2         60       2848       1617        722        1.7        345          0          0          0          0          0          0 
     940.0     153.24       0.39        4.1         60       3303       1621        722        1.5        296          0          0          0          0          0          0 
     945.0     150.20       0.40        2.5         60       2990       1620        722        2.9        482          0          0          0          0          0          0 
     950.0     138.36       0.43        3.7         60       2961       1629        722        3.5        603          0          0          0          0          0          0 
     955.0      93.45       0.64        3.4         60       2422       1623        722        4.0        702          0          0          0          0          0          0 
     960.0     113.67       0.53        3.4         60       2514       1626        722        3.8        702          0          0          0          0          0          0 
     965.0     119.26       0.50        3.5         61       2680       1634        722        1.9        372          0          0          0          0          0          0 
     970.0     150.35       0.40        2.5         61       2540       1636        722        1.8        359          0          0          0          0          0          0 
     975.0     139.44       0.43        4.3         61       2805       1637        722        2.9        525          0          0          0          0          0          0 
     980.0     112.48       0.53        4.0         61       2616       1646        722        4.2        764          0          0          0          0          0          0 
     985.0     142.84       0.42        4.2         61       3126       1635        722        3.9        764          0          0          0          0          0          0 
